character_id,first_name,last_name,character_type_id,damage_stat,description
1,Kinzo,Ushiromiya,1,7,"Kinzo is the aged head of the Ushiromiya family. A veteran of World War II, Kinzo came into a large quantity of gold while stationed in the Italian Social Republic. He used this gold to establish the Ushiromiya as a powerful family operating in several industries. In his later years, Kinzo had a mansion built on his private island Rokkenjima, where he now lives."
2,Krauss,Ushiromiya,1,4,"Krauss is Kinzo's firstborn son and the first in line to succeed Kinzo as head of the Ushiromiya family. His status as successor is contested by his younger sister Eva. Krauss is a fairly successful real estate investor, however he has recently come into a large amount of debt due to a resort development."
3,Natsuhi,Ushiromiya,1,5,"Natsuhi is Krauss's wife and Kinzo's daughter-in-law. As she is not part of the Ushiromiya bloodline, Natsuhi is not allowed to wear the family crest on her person, a fact that greatly distresses her. She is frequently bullied by Krauss's sister Eva who desires to undermine Natsuhi's position as head woman of the Ushiromiya family."
4,Jessica,Ushiromiya,1,5,"Krauss and Natsuhi's biological daughter. In most timelines, Jessica is burdened with being the next in line for the Ushiromiya headship after her father, a title Jessica does not want."
5,Eva,Ushiromiya,2,6,"Eva is the second daughter of Kinzo Ushiromiya. She is married to Hideyoshi Ushiromiya and has one son, George. Eva is a successful businesswoman and is known for her sharp wit and intelligence. She frequently fights with her brother Krauss over being the successor to the Ushiromiya family, a title Eva strongly desires."
6,Hideyoshi,Ushiromiya,2,4,Hideyoshi is Eva's husband and Kinzo's son-in-law. Hideyoshi is a very easygoing but successful businessman.
7,George,Ushiromiya,2,5,"George is Eva and Hideyoshi's only child and Kinzo's eldest grandchild. His mother Eva is especially proud of him as he originally was to be the successor to the headship after Krauss as Natsuhi was having trouble conceiving a child. However, after Jessica's birth, George was no longer the next choice for successor. George has developed an intimate relationship with one of the Ushiromiya servants, Shannon."
8,Rudolf,Ushiromiya,3,4,"Rudolf is Kinzo's third grandchild. Rudolf is a successful and notoriously ruthless businessman. His first child, Battler, was the result of his relationship with his first wife, Asumu Ushiromiya. After Asumu died in childbirth, Rudolf married his longtime friend and associate Kyrie."
9,Kyrie,Ushiromiya,3,4,"Kyrie is Rudolf's second wife, Battler's stepmother, and Ange's biological mother."
10,Battler,Ushiromiya,3,6,Battler is Rudolf's son from his first marriage to Asumu. Battler is known for his stubbornness and refusal to accept the existence of magic. He is especially close to his cousin Jessica. Battler is the protagonist of Umineko no Naku Koro ni
11,Ange,Ushiromiya,3,5,"Ange is Rudolf and Kyrie's second child. Ange is almost always sick during the 1986 family conference and thus is often the only surviving member of the Ushiromiya family after the conference concludes. In the true timeline, Ange is adopted by the only survivor of the Rokkenjima explosion, her aunt Eva. The two grow to hate each other and Ange eventually leaves Eva's care to search for the truth regarding the destruction of Rokkenjima."
12,Rosa,Ushiromiya,4,5,Rosa is Kinzo's fourth grandchild. Rosa is a single mother to Maria and is known for her short temper and inability to hold down a job. She is frequently bullied by her siblings and is the only one of the Ushiromiya siblings to not have a successful career. Rosa has yet to find a husband.
13,Maria,Ushiromiya,4,4,Maria is Rosa's only child. Maria is known for her obsession with magic and the occult. She is frequently bullied by her mother and aunts and uncles. Maria was born out of wedlock. Maria is the protagonist of Umineko no Naku Koro ni Chiru.
